b'7.1 km',b'3.8 (715 Ratings)\xc2\xb7Good',b'\xe2\x82\xb9926\xe2\x82\xb9',"b'Sector 6, HSR Layout, Bangalore\xc2\xb7\n\n\n\n\n\n\n7.1 km'"
b'2.7 km',b'NEW',b'\xe2\x82\xb9912\xe2\x82\xb9',"b'Near Majestic, Nagarathpete, Bangalore\xc2\xb7\n\n\n\n\n\n\n2.7 km'"
b'6.2 km',b'3.7 (63 Ratings)\xc2\xb7Good',b'\xe2\x82\xb9973\xe2\x82\xb9',"b'Near Shantiniketan Educational Institute, BTM Layout, Bnagalore\xc2\xb7\n\n\n\n\n\n\n6.2 km'"
b'5.5 km',b'NEW',b'\xe2\x82\xb91014',"b'Near Sri Balaji medicals, Zuzuvadi, Bangalore\xc2\xb7\n\n\n\n\n\n\n5.5 km'"
b'6.4 km',b'4.7 (910 Ratings)\xc2\xb7Excellent',b'\xe2\x82\xb9920\xe2\x82\xb9',"b'Near Krishna Leela Grand Hotel, Vsv Avenue, Bangalore\xc2\xb7\n\n\n\n\n\n\n6.4 km'"
b'4.8 km',b'3.8 (795 Ratings)\xc2\xb7Good',b'\xe2\x82\xb91302',"b'Near SR Krishnappa Garden, Swagath Road, Bangalore\xc2\xb7\n\n\n\n\n\n\n4.8 km'"
b'4.9 km',b'4.4 (23 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb9926\xe2\x82\xb9',"b'Near Clove Dental Clinic, Domlur, Bangalore\xc2\xb7\n\n\n\n\n\n\n4.9 km'"
b'5.6 km',b'4.6 (824 Ratings)\xc2\xb7Excellent',b'\xe2\x82\xb91539',"b'Near Domlur Bridge, Indiranagar, Bangalore\xc2\xb7\n\n\n\n\n\n\n5.6 km'"
b'3.2 km',b'4.6 (750 Ratings)\xc2\xb7Excellent',b'\xe2\x82\xb91727',"b'Near Mantri Square Mall, Sheshadripuram, Bangalore\xc2\xb7\n\n\n\n\n\n\n3.2 km'"
b'5.4 km',b'4.7 (1212 Ratings)\xc2\xb7Excellent',b'\xe2\x82\xb91285',"b'Near IIFT, Vijayanagar, Bangalore\xc2\xb7\n\n\n\n\n\n\n5.4 km'"
